                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3724,                 1.3977,                  1.387,                0.66316,                0.65188,                0.69556,                0.37811,                 1.3175,                  1.389,                  1.392,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.3103,                 1.3328,                 1.3892,                0.72898,                0.58444,                0.68991,                 0.3812,                 1.3711,                 1.4059,                 1.4394,             0.00082925,             0.00082925,             0.00082925
                     36,                  1.308,                 1.2615,                 1.3443,                0.67888,                0.64168,                 0.7319,                0.41457,                  1.351,                 1.3635,                 1.4128,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.2997,                 1.2681,                  1.343,                0.76272,                0.64764,                0.74803,                0.43734,                  1.278,                 1.2595,                 1.3772,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.3308,                 1.2313,                 1.3609,                0.72457,                0.63833,                0.74571,                0.44845,                 1.2194,                  1.233,                 1.3251,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.2871,                 1.2158,                 1.3438,                0.79064,                0.63369,                0.74215,                0.43425,                 1.2563,                 1.2594,                 1.3564,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.2734,                 1.1923,                 1.3764,                0.75551,                0.67973,                0.76509,                0.47559,                 1.2153,                 1.1863,                 1.3184,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.3347,                 1.2256,                 1.3353,                0.76326,                0.70999,                0.76262,                0.46067,                 1.1156,                 1.1639,                 1.2858,               0.000755,               0.000755,               0.000755
                     42,                 1.2788,                  1.175,                 1.3474,                0.80023,                0.61206,                0.74518,                0.46569,                 1.1799,                  1.189,                 1.3121,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.2118,                 1.1561,                  1.295,                0.84709,                0.65432,                0.77105,                0.47026,                   1.18,                 1.1306,                 1.3254,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.1624,                 1.1067,                 1.2596,                0.83368,                0.66883,                0.77027,                0.48874,                 1.1064,                 1.0657,                 1.2747,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.2016,                  1.109,                 1.2875,                0.75582,                0.69699,                0.74291,                0.45946,                 1.1643,                 1.0728,                 1.2815,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.2121,                 1.1617,                 1.3347,                 0.7457,                 0.7704,                0.75348,                0.45109,                   1.19,                 1.0599,                 1.3091,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.1781,                 1.0986,                 1.2858,                0.77456,                0.70624,                0.74823,                 0.4528,                  1.173,                 1.0759,                    1.3,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.1312,                 1.0697,                  1.257,                0.82518,                0.70362,                0.78263,                0.44602,                 1.2469,                  1.093,                 1.3218,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.1558,                 1.0506,                 1.2524,                0.83389,                0.67233,                0.77421,                0.46505,                 1.2021,                 1.0922,                  1.303,               0.000656,               0.000656,               0.000656
                     50,                 1.1912,                 1.1193,                 1.2892,                0.76048,                0.73163,                0.79321,                0.49037,                 1.1432,                  1.035,                 1.2774,             0.00064362,             0.00064362,             0.00064362
                     51,                  1.174,                 1.0765,                 1.3047,                0.75527,                0.73234,                0.80491,                0.52755,                 1.0763,                0.97275,                 1.2283,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.1228,                 1.0048,                 1.2493,                0.81159,                0.78749,                0.84246,                0.55604,                 1.0353,                0.91401,                 1.2011,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.1577,                 1.0168,                 1.2369,                0.86431,                0.74929,                 0.8481,                0.55312,                 1.0306,                0.90288,                 1.1912,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.1093,                0.99844,                 1.2215,                0.89704,                0.74603,                0.87357,                0.55585,                 1.0244,                0.90375,                 1.1811,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.1181,                0.98629,                 1.2285,                0.90151,                0.75239,                0.88344,                0.59688,                0.93541,                0.87351,                 1.1392,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.0666,                0.92705,                 1.1942,                0.84648,                0.81868,                0.88018,                 0.6161,                0.95762,                0.84873,                  1.154,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.1092,                0.95021,                 1.2474,                0.93523,                0.73152,                0.87373,                0.60845,                 1.0481,                0.87627,                 1.1983,               0.000557,               0.000557,               0.000557
                     58,                 1.0651,                0.95208,                 1.1975,                0.91101,                0.77733,                0.87686,                0.59795,                0.93054,                0.83247,                   1.14,             0.00054463,             0.00054463,             0.00054463
                     59,                  1.079,                 0.9585,                 1.1808,                0.86459,                0.79495,                 0.8509,                0.56759,                0.89807,                0.83521,                 1.1177,             0.00053225,             0.00053225,             0.00053225
                     60,                0.99621,                 0.8643,                  1.179,                0.85574,                0.82758,                0.87487,                0.60847,                0.86629,                0.81092,                 1.1125,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.0215,                0.88609,                 1.1728,                0.93745,                0.79604,                0.90118,                0.63393,                0.86403,                0.80869,                  1.111,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.0318,                0.92438,                 1.1956,                0.93259,                0.82793,                0.90511,                0.64268,                0.87722,                0.81749,                 1.1065,             0.00049513,             0.00049513,             0.00049513
